ProductCode,BrandName,Week,Color,Target,Price,RankA,RankB,RankC,RankD,Rating,ReviewCount,Recommend,ReviewCountFromSite,ReviewCorrected_1,ReviewCorrected_2
206354742,Brand_3,2019W25,Stainless Steel,342,224,151,102,111.286,17.689,4.43,195,87,195,195,1
205894003,Brand_1,2019W22,Stainless Steel,1,179,204,194,198.857,3.671,4.18,85,80,85,85,8
205894003,Brand_1,2019W38,Stainless Steel,1,158.86,318,303,309.333,5.645,4.2,93,80,93,8,8
205894003,Brand_1,2019W50,Stainless Steel,1,158.86,482,413,453.429,25.806,4.17,94,80,94,94,1
202060906,Brand_3,2019W19,Chrome,1739,69,10,8,8.714,0.951,4.51,943,94,943,943,14
202060906,Brand_3,2019W20,Chrome,1758,69,10,10,10,0,4.51,957,94,957,14,14
202060906,Brand_3,2019W21,Chrome,1734,69,10,5,8.429,1.813,4.51,963,94,963,6,6
202060906,Brand_3,2019W22,Chrome,1677,69,8,8,8,0,4.51,964,94,964,1,1
202060906,Brand_3,2019W23,Chrome,1713,69,8,8,8,0,4.51,970,94,970,6,6
202060906,Brand_3,2019W24,Chrome,1626,69,8,8,8,0,4.51,974,94,974,4,4
202060906,Brand_3,2019W25,Chrome,1678,69,10,5,8.429,1.813,4.51,976,94,976,976,2
202696365,Brand_3,2019W19,Stainless Steel,0,75.59,1165,1152,1158.714,5.529,4.62,753,94,753,753,0
202696365,Brand_3,2019W20,Stainless Steel,0,75.59,1157,1122,1138.714,13.313,4.62,753,94,753,0,0
202696365,Brand_3,2019W21,Stainless Steel,0,75.59,1163,1154,1158.857,3.288,4.62,754,94,754,1,1
202696365,Brand_3,2019W22,Stainless Steel,0,75.59,1157,1129,1145,10.165,4.62,758,94,758,4,4
202696365,Brand_3,2019W23,Stainless Steel,0,75.59,1147,1138,1143.714,3.988,4.62,758,94,758,0,0
202696365,Brand_3,2019W24,Stainless Steel,0,75.59,1169,1150,1161,7.188,4.62,759,94,759,1,1
202696365,Brand_3,2019W25,Stainless Steel,0,75.59,1192,1167,1179.143,9.191,4.62,759,94,759,759,0
202584243,Brand_3,2019W19,Stainless Steel,553,130.9,18,18,18,0,4.51,849,93,849,849,2
