Channel,ProductID,BrandName,Model,AltCustomerCode,Week,Sales_count,ReviewCount,Avg_Price
Online,211451588,Portfolio,34395,8119,2020W42,NA,91,149.98
Online,211451588,Portfolio,34395,8119,2020W43,NA,91,149.98
Online,211451588,Portfolio,34395,8119,2020W44,NA,91,149.98
Online,211451588,Portfolio,34395,8119,2020W45,NA,91,149.98
Online,211451588,Portfolio,34395,8119,2020W46,NA,91,149.98
Online,211451588,Portfolio,34395,8119,2020W47,NA,91,149.98
Online,211451588,Portfolio,34395,8119,2020W48,NA,92,149.98
Online,211451588,Portfolio,34395,8119,2020W49,NA,92,149.98
Online,211451588,Portfolio,34395,8119,2020W50,NA,92,149.98
Online,211451588,Portfolio,34395,8119,2020W51,NA,92,149.98
Online,211451588,Portfolio,34395,8119,2020W52,NA,92,149.98
Online,211451589,Portfolio,34400,8056,2020W40,NA,90,299.98
Online,211451589,Portfolio,34400,8056,2020W41,NA,90,299.98
Online,211451589,Portfolio,34400,8056,2020W42,NA,91,299.98
Online,211451589,Portfolio,34400,8056,2020W43,NA,91,299.98
Online,211451589,Portfolio,34400,8056,2020W44,NA,91,299.98
Online,211451589,Portfolio,34400,8056,2020W45,NA,91,299.98
Online,211451589,Portfolio,34400,8056,2020W46,NA,91,271.409
Online,211451589,Portfolio,34400,8056,2020W47,NA,91,259.98
Online,211451589,Portfolio,34400,8056,2020W48,NA,92,259.98
Online,211451589,Portfolio,34400,8056,2020W49,NA,92,259.98
Online,211451589,Portfolio,34400,8056,2020W50,NA,92,259.98
Online,211451589,Portfolio,34400,8056,2020W51,NA,92,259.98
Online,211451589,Portfolio,34400,8056,2020W52,NA,92,259.98
Online,211451590,Kichler,34692,615954,2020W40,6,118,299
Online,211451590,Kichler,34692,615954,2020W41,7,118,299
Online,211451590,Kichler,34692,615954,2020W42,7,118,299
Online,211451590,Kichler,34692,615954,2020W43,5,118,299
Online,211451590,Kichler,34692,615954,2020W44,7,118,299
Online,211451590,Kichler,34692,615954,2020W45,9,118,299
Online,211451590,Kichler,34692,615954,2020W46,10,118,299
Online,211451590,Kichler,34692,615954,2020W47,7,118,299
Online,211451590,Kichler,34692,615954,2020W48,6,119,299
Online,211451590,Kichler,34692,615954,2020W49,7,120,299
Online,211451590,Kichler,34692,615954,2020W50,9,121,299
Online,211451590,Kichler,34692,615954,2020W51,NA,121,299
Online,211451590,Kichler,34692,615954,2020W52,NA,121,299
Online,211451591,Quoizel,LWS4616B,1464906,2020W40,NA,2,159.98
Online,211451591,Quoizel,LWS4616B,1464906,2020W41,NA,2,159.98
Online,211451591,Quoizel,LWS4616B,1464906,2020W42,NA,2,159.98
Online,211451591,Quoizel,LWS4616B,1464906,2020W43,NA,2,159.98
Online,211451591,Quoizel,LWS4616B,1464906,2020W44,NA,2,159.98
Online,211451591,Quoizel,LWS4616B,1464906,2020W45,NA,2,159.98
Online,211451591,Quoizel,LWS4616B,1464906,2020W46,NA,2,159.98
Online,211451591,Quoizel,LWS4616B,1464906,2020W47,NA,2,159.98
Online,211451591,Quoizel,LWS4616B,1464906,2020W48,NA,2,159.98
Online,211451591,Quoizel,LWS4616B,1464906,2020W49,NA,2,159.98
Online,211451591,Quoizel,LWS4616B,1464906,2020W50,NA,2,159.98
Online,211451591,Quoizel,LWS4616B,1464906,2020W51,NA,2,159.98
Online,211451591,Quoizel,LWS4616B,1464906,2020W52,NA,2,159.98
Online,211451592,allen + roth,D203000900,1099830,2020W40,NA,13,98
Online,211451592,allen + roth,D203000900,1099830,2020W41,NA,13,98
Online,211451592,allen + roth,D203000900,1099830,2020W42,NA,13,98
Online,211451592,allen + roth,D203000900,1099830,2020W43,NA,13,98
Online,211451592,allen + roth,D203000900,1099830,2020W44,NA,13,98
Online,211451592,allen + roth,D203000900,1099830,2020W45,NA,13,98
Online,211451592,allen + roth,D203000900,1099830,2020W46,NA,13,98
Online,211451592,allen + roth,D203000900,1099830,2020W47,NA,13,98
Online,211451592,allen + roth,D203000900,1099830,2020W48,NA,13,98
Online,211451592,allen + roth,D203000900,1099830,2020W49,NA,13,98
Online,211451592,allen + roth,D203000900,1099830,2020W50,NA,13,198
Online,211451592,allen + roth,D203000900,1099830,2020W51,NA,13,184
Online,211451592,allen + roth,D203000900,1099830,2020W52,NA,13,198
Online,211451594,Kichler,34713,615998,2020W40,2,52,199
Online,211451594,Kichler,34713,615998,2020W41,3,52,199
Online,211451594,Kichler,34713,615998,2020W42,2,52,199
Online,211451594,Kichler,34713,615998,2020W43,5,52,199
Online,211451594,Kichler,34713,615998,2020W44,7,52,199
Online,211451594,Kichler,34713,615998,2020W45,1,52,199
Online,211451594,Kichler,34713,615998,2020W46,4,52,199
Online,211451594,Kichler,34713,615998,2020W47,6,52,199
Online,211451594,Kichler,34713,615998,2020W48,4,52,199
Online,211451594,Kichler,34713,615998,2020W49,8,52,199
Online,211451594,Kichler,34713,615998,2020W50,11,52,199
Online,211451594,Kichler,34713,615998,2020W51,NA,52,199
Online,211451594,Kichler,34713,615998,2020W52,NA,52,199
Online,211451595,Kichler,34694,615956,2020W40,15,118,149.98
Online,211451595,Kichler,34694,615956,2020W41,8,118,149.98
Online,211451595,Kichler,34694,615956,2020W42,17,118,149.98
Online,211451595,Kichler,34694,615956,2020W43,24,118,149.98
Online,211451595,Kichler,34694,615956,2020W44,20,118,149.98
Online,211451595,Kichler,34694,615956,2020W45,16,118,149.98
Online,211451595,Kichler,34694,615956,2020W46,20,118,149.98
Online,211451595,Kichler,34694,615956,2020W47,27,118,149.98
Online,211451595,Kichler,34694,615956,2020W48,18,119,149.98
Online,211451595,Kichler,34694,615956,2020W49,28,120,149.98
Online,211451595,Kichler,34694,615956,2020W50,31,121,149.98
Online,211451595,Kichler,34694,615956,2020W51,NA,121,149.98
Online,211451595,Kichler,34694,615956,2020W52,NA,121,149.98
Online,211451597,Kichler,34712,615997,2020W40,1,52,269
Online,211451597,Kichler,34712,615997,2020W41,6,52,269
Online,211451597,Kichler,34712,615997,2020W42,3,52,269
Online,211451597,Kichler,34712,615997,2020W43,4,52,269
Online,211451597,Kichler,34712,615997,2020W44,3,52,269
Online,211451597,Kichler,34712,615997,2020W45,-1,52,269
Online,211451597,Kichler,34712,615997,2020W46,3,52,269
Online,211451597,Kichler,34712,615997,2020W47,3,52,269
Online,211451597,Kichler,34712,615997,2020W48,2,52,269
Online,211451597,Kichler,34712,615997,2020W49,2,52,269
Online,211451597,Kichler,34712,615997,2020W50,4,52,269
Online,211451597,Kichler,34712,615997,2020W51,NA,52,269
Online,211451597,Kichler,34712,615997,2020W52,NA,52,269
Online,211451598,Kichler,34693,615955,2020W40,1,118,199.98
Online,211451598,Kichler,34693,615955,2020W41,5,118,199.98
Online,211451598,Kichler,34693,615955,2020W42,9,118,199.98
Online,211451598,Kichler,34693,615955,2020W43,9,118,199.98
Online,211451598,Kichler,34693,615955,2020W44,5,118,199.98
Online,211451598,Kichler,34693,615955,2020W45,19,118,199.98
Online,211451598,Kichler,34693,615955,2020W46,4,118,199.98
Online,211451598,Kichler,34693,615955,2020W47,22,118,199.98
Online,211451598,Kichler,34693,615955,2020W48,1,119,199.98
Online,211451598,Kichler,34693,615955,2020W49,21,120,199.98
Online,211451598,Kichler,34693,615955,2020W50,6,121,199.98
Online,211451598,Kichler,34693,615955,2020W51,NA,121,199.98
Online,211451598,Kichler,34693,615955,2020W52,NA,121,199.98
Online,211451599,Kichler,34755,670129,2020W40,1,118,194.14
Online,211451599,Kichler,34755,670129,2020W41,2,118,199.95
Online,211451599,Kichler,34755,670129,2020W42,3,118,219.04
Online,211451599,Kichler,34755,670129,2020W43,3,118,199.12
Online,211451599,Kichler,34755,670129,2020W44,0,118,204.1
Online,211451599,Kichler,34755,670129,2020W45,3,118,229
Online,211451599,Kichler,34755,670129,2020W46,2,118,229
Online,211451599,Kichler,34755,670129,2020W47,1,118,229
Online,211451599,Kichler,34755,670129,2020W48,0,119,229
Online,211451599,Kichler,34755,670129,2020W49,0,120,229
Online,211451599,Kichler,34755,670129,2020W50,0,121,229
Online,211451599,Kichler,34755,670129,2020W51,NA,121,209.08
Online,211451599,Kichler,34755,670129,2020W52,NA,121,194.14
Online,211451600,Kichler,34754,670128,2020W40,0,118,271.32
Online,211451600,Kichler,34754,670128,2020W41,0,118,271.32
Online,211451600,Kichler,34754,670128,2020W42,0,118,271.32
Online,211451600,Kichler,34754,670128,2020W43,0,118,271.32
Online,211451600,Kichler,34754,670128,2020W44,0,118,299
Online,211451600,Kichler,34754,670128,2020W45,0,118,299
Online,211451600,Kichler,34754,670128,2020W46,2,118,299
Online,211451600,Kichler,34754,670128,2020W47,0,118,299
Online,211451600,Kichler,34754,670128,2020W48,1,119,299
Online,211451600,Kichler,34754,670128,2020W49,0,120,299
Online,211451600,Kichler,34754,670128,2020W50,0,121,299
Online,211451600,Kichler,34754,670128,2020W51,NA,121,299
Online,211451600,Kichler,34754,670128,2020W52,NA,121,299
Online,211451601,Kichler,34756,670130,2020W40,0,118,160
Online,211451601,Kichler,34756,670130,2020W41,1,118,160
Online,211451601,Kichler,34756,670130,2020W42,0,118,154.594
Online,211451601,Kichler,34756,670130,2020W43,0,118,122.16
Online,211451601,Kichler,34756,670130,2020W44,2,118,160
Online,211451601,Kichler,34756,670130,2020W45,2,118,160
Online,211451601,Kichler,34756,670130,2020W46,4,118,143.783
Online,211451601,Kichler,34756,670130,2020W47,2,118,132.971
Online,211451601,Kichler,34756,670130,2020W48,1,119,132.971
Online,211451601,Kichler,34756,670130,2020W49,1,120,127.566
Online,211451601,Kichler,34756,670130,2020W50,1,121,154.594
Online,211451601,Kichler,34756,670130,2020W51,NA,121,160
Online,211451601,Kichler,34756,670130,2020W52,NA,121,160
Online,211451602,Portfolio,34393,8114,2020W40,NA,90,179.98
Online,211451602,Portfolio,34393,8114,2020W41,NA,90,179.98
Online,211451602,Portfolio,34393,8114,2020W42,NA,91,179.98
Online,211451602,Portfolio,34393,8114,2020W43,NA,91,179.98
Online,211451602,Portfolio,34393,8114,2020W44,NA,91,179.98
Online,211451602,Portfolio,34393,8114,2020W45,NA,91,179.98
Online,211451602,Portfolio,34393,8114,2020W46,NA,91,179.98
Online,211451602,Portfolio,34393,8114,2020W47,NA,91,179.98
Online,211451602,Portfolio,34393,8114,2020W48,NA,92,179.98
Online,211451602,Portfolio,34393,8114,2020W49,NA,92,179.98
Online,211451602,Portfolio,34393,8114,2020W50,NA,92,179.98
Online,211451602,Portfolio,34393,8114,2020W51,NA,92,179.98
Online,211451602,Portfolio,34393,8114,2020W52,NA,92,179.98
Online,211451603,Kichler,43859SN,1252743,2020W40,NA,1,449.99
Online,211451603,Kichler,43859SN,1252743,2020W41,1,1,438.74
Online,211451603,Kichler,43859SN,1252743,2020W42,NA,1,382.49
Online,211451603,Kichler,43859SN,1252743,2020W43,1,1,422.99
Online,211451603,Kichler,43859SN,1252743,2020W44,NA,1,449.99
Online,211451603,Kichler,43859SN,1252743,2020W45,NA,1,449.99
Online,211451603,Kichler,43859SN,1252743,2020W46,NA,1,449.99
Online,211451603,Kichler,43859SN,1252743,2020W47,2,1,372.847
Online,211451603,Kichler,43859SN,1252743,2020W48,1,1,359.99
Online,211451603,Kichler,43859SN,1252743,2020W49,1,1,359.99
Online,211451603,Kichler,43859SN,1252743,2020W50,1,2,411.419
Online,211451603,Kichler,43859SN,1252743,2020W51,NA,2,449.99
Online,211451603,Kichler,43859SN,1252743,2020W52,NA,2,449.99
Online,211451604,Kichler,43859NBR,1252742,2020W40,0,1,449.99
Online,211451604,Kichler,43859NBR,1252742,2020W41,1,1,438.74
Online,211451604,Kichler,43859NBR,1252742,2020W42,2,1,382.49
Online,211451604,Kichler,43859NBR,1252742,2020W43,NA,1,409.49
Online,211451604,Kichler,43859NBR,1252742,2020W44,NA,1,449.99
Online,211451604,Kichler,43859NBR,1252742,2020W45,NA,1,449.99
Online,211451604,Kichler,43859NBR,1252742,2020W46,NA,1,449.99
Online,211451604,Kichler,43859NBR,1252742,2020W47,2,1,372.847
Online,211451604,Kichler,43859NBR,1252742,2020W48,-1,1,359.99
Online,211451604,Kichler,43859NBR,1252742,2020W49,5,1,359.99
Online,211451604,Kichler,43859NBR,1252742,2020W50,1,2,411.419
Online,211451604,Kichler,43859NBR,1252742,2020W51,NA,2,449.99
Online,211451604,Kichler,43859NBR,1252742,2020W52,NA,2,449.99
Online,211451605,Minka Lavery,4636-106,2483214,2020W40,NA,1,454.95
Online,211451605,Minka Lavery,4636-106,2483214,2020W41,NA,1,454.95
Online,211451605,Minka Lavery,4636-106,2483214,2020W42,NA,1,454.95
Online,211451605,Minka Lavery,4636-106,2483214,2020W43,NA,1,454.95
Online,211451605,Minka Lavery,4636-106,2483214,2020W44,NA,1,454.95
Online,211451605,Minka Lavery,4636-106,2483214,2020W45,NA,1,454.95
Online,211451605,Minka Lavery,4636-106,2483214,2020W46,NA,1,454.95
Online,211451605,Minka Lavery,4636-106,2483214,2020W47,NA,1,454.95
Online,211451605,Minka Lavery,4636-106,2483214,2020W48,NA,1,454.95
Online,211451605,Minka Lavery,4636-106,2483214,2020W49,NA,1,454.95
Online,211451605,Minka Lavery,4636-106,2483214,2020W50,NA,1,454.95
Online,211451605,Minka Lavery,4636-106,2483214,2020W51,NA,1,454.95
Online,211451605,Minka Lavery,4636-106,2483214,2020W52,NA,1,454.95
Online,211451606,Kichler,44029NI,1252795,2020W40,0,9,129.99
Online,211451606,Kichler,44029NI,1252795,2020W41,NA,9,129.99
Online,211451606,Kichler,44029NI,1252795,2020W42,NA,9,129.99
Online,211451606,Kichler,44029NI,1252795,2020W43,NA,9,129.99
Online,211451606,Kichler,44029NI,1252795,2020W44,0,9,129.99
Online,211451606,Kichler,44029NI,1252795,2020W45,NA,9,111.419
Online,211451606,Kichler,44029NI,1252795,2020W46,NA,9,103.99
Online,211451606,Kichler,44029NI,1252795,2020W47,1,10,103.99
Online,211451606,Kichler,44029NI,1252795,2020W48,NA,10,103.99
Online,211451606,Kichler,44029NI,1252795,2020W49,NA,10,103.99
Online,211451606,Kichler,44029NI,1252795,2020W50,NA,10,118.847
Online,211451606,Kichler,44029NI,1252795,2020W51,NA,10,129.99
Online,211451606,Kichler,44029NI,1252795,2020W52,NA,10,129.99
Online,211451607,Kichler,44029OZ,1252796,2020W40,0,9,129.99
Online,211451607,Kichler,44029OZ,1252796,2020W41,0,9,129.99
Online,211451607,Kichler,44029OZ,1252796,2020W42,NA,9,129.99
Online,211451607,Kichler,44029OZ,1252796,2020W43,NA,9,129.99
Online,211451607,Kichler,44029OZ,1252796,2020W44,1,9,129.99
Online,211451607,Kichler,44029OZ,1252796,2020W45,0,9,111.419
Online,211451607,Kichler,44029OZ,1252796,2020W46,0,9,103.99
Online,211451607,Kichler,44029OZ,1252796,2020W47,0,10,103.99
Online,211451607,Kichler,44029OZ,1252796,2020W48,0,10,103.99
Online,211451607,Kichler,44029OZ,1252796,2020W49,4,10,103.99
Online,211451607,Kichler,44029OZ,1252796,2020W50,1,10,118.847
Online,211451607,Kichler,44029OZ,1252796,2020W51,NA,10,129.99
Online,211451607,Kichler,44029OZ,1252796,2020W52,NA,10,129.99
Online,211451608,Kichler,44030NI,1252797,2020W40,0,9,174.99
Online,211451608,Kichler,44030NI,1252797,2020W41,0,9,174.99
Online,211451608,Kichler,44030NI,1252797,2020W42,2,9,174.99
Online,211451608,Kichler,44030NI,1252797,2020W43,0,9,174.99
Online,211451608,Kichler,44030NI,1252797,2020W44,0,9,174.99
Online,211451608,Kichler,44030NI,1252797,2020W45,0,9,149.99
Online,211451608,Kichler,44030NI,1252797,2020W46,0,9,139.99
Online,211451608,Kichler,44030NI,1252797,2020W47,1,10,139.99
Online,211451608,Kichler,44030NI,1252797,2020W48,1,10,139.99
Online,211451608,Kichler,44030NI,1252797,2020W49,0,10,139.99
Online,211451608,Kichler,44030NI,1252797,2020W50,0,10,159.99
Online,211451608,Kichler,44030NI,1252797,2020W51,NA,10,174.99
Online,211451608,Kichler,44030NI,1252797,2020W52,NA,10,174.99
Online,211451609,Kichler,44030OZ,1252798,2020W40,6,9,174.99
Online,211451609,Kichler,44030OZ,1252798,2020W41,3,9,170.615
Online,211451609,Kichler,44030OZ,1252798,2020W42,4,9,148.74
Online,211451609,Kichler,44030OZ,1252798,2020W43,7,9,159.99
Online,211451609,Kichler,44030OZ,1252798,2020W44,3,9,174.99
Online,211451609,Kichler,44030OZ,1252798,2020W45,8,9,149.99
Online,211451609,Kichler,44030OZ,1252798,2020W46,4,9,139.99
Online,211451609,Kichler,44030OZ,1252798,2020W47,-1,10,139.99
Online,211451609,Kichler,44030OZ,1252798,2020W48,3,10,139.99
Online,211451609,Kichler,44030OZ,1252798,2020W49,1,10,139.99
Online,211451609,Kichler,44030OZ,1252798,2020W50,5,10,159.99
Online,211451609,Kichler,44030OZ,1252798,2020W51,NA,10,174.99
Online,211451609,Kichler,44030OZ,1252798,2020W52,NA,10,174.99
Online,211451610,Kichler,44031NI,1252799,2020W40,1,9,399.99
